record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat
24,IB,Iberia,IB2871,LIM,SAP,4/08/2025 17:35,8/04/2025 23:19,336,ON_TIME,0,B738,ECONOMY,25F
25,FR,Ryanair,FR7243,HAV,SJO,16/01/2025 22:25,17/01/2025 00:16,91,ON_TIME,0,B777,ECONOMY,37A
26,BA,British Airways,BA6799,BCN,SAP,4/04/2024 07:32,4/04/2024 08:36,59,ON_TIME,0,B738,ECONOMY,16E
27,IB,Iberia,IB9670,LIM,PTY,26/03/2025 10:33,03-26-2025 07:20 PM,382,DELAYED,124,B767,ECONOMY,27C
28,AV,AVIANCA,AV1647,SAP,MEX,21/04/2024 23:15,22/04/2024 03:28,254,ON_TIME,0,A320,PREMIUM_ECONOMY,13C
29,IB,Iberia,IB6952,MIA,BCN,18/10/2024 03:32,18/10/2024 07:56,265,ON_TIME,0,B738,ECONOMY,37B
30,CM,Copa Airlines,CM1592,SAL,HAV,3/07/2024 05:50,7/03/2024 10:02,240,ON_TIME,0,B738,FIRST,2A
31,AM,Aeromexico,AM9132,SAP,LAX,12/04/2024 01:41,12/04/2024 03:20,91,ON_TIME,0,A320,ECONOMY,22B
32,AM,Aeromexico,AM6079,SJO,JFK,4/08/2025 18:35,5/08/2025 01:10,389,ON_TIME,0,B777,PREMIUM_ECONOMY,13A
33,DL,Delta,DL0829,MAD,BOG,23/05/2025 16:37,23/05/2025 18:33,95,ON_TIME,0,A319,BUSINESS,6A
34,WN,Southwest,WN1787,CUN,SJO,31/03/2025 10:58,31/03/2025 13:37,155,ON_TIME,0,B787,ECONOMY,44E
35,FR,RYANAIR,FR9034,BOG,MAD,22/08/2024 06:47,08-22-2024 11:17 AM,279,ON_TIME,0,B767,ECONOMY,28D
36,CM,Copa Airlines,CM0843,MAD,JFK,19/11/2024 02:36,11-19-2024 09:30 AM,418,ON_TIME,0,B739,ECONOMY,24C
37,DL,Delta,DL1141,SJO,GUA,9/01/2025 12:39,9/01/2025 15:14,159,ON_TIME,0,A320,ECONOMY,19C
38,LA,LATAM,LA0745,MAD,LIM,18/12/2024 08:34,18/12/2024 12:13,219,ON_TIME,0,A320,ECONOMY,40E
39,UA,United,UA7539,hav,GUA,04-16-2024 02:14 PM,16/04/2024 17:17,175,ON_TIME,0,A321,ECONOMY,39D
40,LA,LATAM,LA8096,LIM,PTY,7/11/2024 00:55,7/11/2024 06:03,313,ON_TIME,0,B787,ECONOMY,26B
41,B6,JetBlue,B67369,PTY,LIM,8/05/2025 10:49,5/08/2025 19:53,364,DELAYED,170,B737,ECONOMY,30A
42,DL,Delta,DL9875,SAL,MEX,15/12/2024 22:21,16/12/2024 00:09,97,DIVERTED,0,B787,ECONOMY,36B
43,IB,Iberia,IB8844,PTY,HAV,26/06/2025 12:36,26/06/2025 19:15,384,ON_TIME,0,A320,ECONOMY,18C
44,B6,JetBlue,B66257,MEX,MIA,8/04/2025 21:28,4/09/2025 01:24,237,ON_TIME,0,A319,PREMIUM_ECONOMY,15B
45,DL,Delta,DL1624,JFK,BOG,2/10/2024 12:42,2/10/2024 21:46,373,DELAYED,151,A319,BUSINESS,9E
46,CM,Copa Airlines,cm7033,SJO,lim,10/07/2025 13:01,7/10/2025 15:17,116,ON_TIME,0,B787,ECONOMY,18A
47,AA,American Airlines,AA7841,bog,BCN,7/10/2024 02:08,7/10/2024 03:50,79,ON_TIME,0,A321,PREMIUM_ECONOMY,15E
48,AV,Avianca,AV8508,LAX,MIA,6/05/2024 13:55,5/06/2024 16:34,67,DELAYED,90,B757,BUSINESS,8D
49,DL,Delta,DL9955,BOG,HAV,16/08/2024 04:12,08-16-2024 07:37 AM,209,ON_TIME,0,A319,ECONOMY,25D
50,AM,Aeromexico,AM8048,MIA,BOG,24/10/2024 08:55,24/10/2024 14:22,335,ON_TIME,0,A321,ECONOMY,27C
51,CM,Copa Airlines,CM7843,SAL,BOG,09-21-2025 01:03 PM,21/09/2025 19:47,394,ON_TIME,0,B787,ECONOMY,33E
52,FR,Ryanair,FR8741,SAL,LAX,15/12/2024 12:07,12-15-2024 05:13 PM,283,ON_TIME,0,B787,PREMIUM_ECONOMY,15F
53,FR,Ryanair,FR7934,PTY,LAX,13/07/2025 17:34,07-14-2025 02:13 AM,354,DELAYED,154,A319,ECONOMY,43A
54,BA,BRITISH AIRWAYS,BA1476,MIA,JFK,11/05/2024 16:36,11/05/2024 18:40,111,ON_TIME,0,B737,ECONOMY,23D
55,AV,Avianca,AV5556,LAX,MEX,19/01/2025 09:29,19/01/2025 15:39,350,ON_TIME,0,A319,ECONOMY,19D
56,WN,Southwest,WN9564,GUA,PTY,5/02/2024 04:30,2/05/2024 05:32,64,ON_TIME,0,CRJ9,PREMIUM_ECONOMY,15D
57,IB,Iberia,IB5326,pty,HAV,31/08/2025 02:23,31/08/2025 10:47,341,DELAYED,159,B757,ECONOMY,32F
58,WN,Southwest,WN4713,MIA,CUN,28/02/2025 07:16,28/02/2025 11:08,226,ON_TIME,0,B767,ECONOMY,23C
59,UA,UNITED,UA7823,CUN,LIM,5/10/2025 02:08,,,CANCELLED,,B738,ECONOMY,
60,AA,American Airlines,AA8262,PTY,SAP,21/03/2025 22:37,22/03/2025 05:31,163,DELAYED,227,A321,BUSINESS,5D
61,FR,Ryanair,FR4286,JFK,LIM,12/07/2025 03:38,7/12/2025 09:20,140,DELAYED,212,A320,ECONOMY,37B
62,DL,Delta,DL9244,MAD,LAX,16/06/2025 21:20,17/06/2025 02:31,302,ON_TIME,0,B777,ECONOMY,25C
63,DL,Delta,DL0988,LAX,HAV,25/10/2025 16:46,25/10/2025 22:15,311,ON_TIME,0,B767,ECONOMY,34D
64,DL,Delta,DL5672,HAV,GUA,13/05/2025 06:53,13/05/2025 14:07,418,ON_TIME,0,CRJ9,BUSINESS,7D
65,FR,Ryanair,FR8541,MAD,LIM,22/04/2025 14:59,04-22-2025 03:57 PM,53,ON_TIME,0,A320,ECONOMY,17D
66,BA,British Airways,BA4178,CUN,MEX,1/05/2025 05:21,5/01/2025 12:10,392,ON_TIME,0,B767,ECONOMY,27F
67,BA,British Airways,BA3922,CUN,MAD,10/02/2024 00:42,10/02/2024 03:58,182,ON_TIME,0,B757,ECONOMY,43A
68,IB,Iberia,IB8006,JFK,PTY,6/10/2024 08:15,6/10/2024 13:43,307,ON_TIME,0,B767,PREMIUM_ECONOMY,14C
69,AM,Aeromexico,AM0275,cun,SAL,18/04/2024 17:00,19/04/2024 00:17,413,ON_TIME,0,B738,BUSINESS,8F
70,FR,Ryanair,FR2808,MAD,SAP,09-18-2025 04:03 AM,18/09/2025 08:39,136,DELAYED,144,E190,ECONOMY,22E
71,AA,American Airlines,AA8857,BOG,lim,14/12/2025 22:14,12-14-2025 11:24 PM,66,ON_TIME,0,A319,PREMIUM_ECONOMY,15D
72,AA,American Airlines,AA2528,BOG,MEX,2/08/2025 00:19,2/08/2025 03:54,222,ON_TIME,0,A321,ECONOMY,18C
73,CM,Copa Airlines,CM4398,MIA,bog,08-14-2025 08:31 AM,14/08/2025 11:30,183,ON_TIME,0,B757,ECONOMY,30E
74,AA,American Airlines,AA8045,MIA,BOG,14/07/2024 12:01,14/07/2024 15:13,171,ON_TIME,0,B739,ECONOMY,19B
75,LA,LATAM,LA8301,MIA,LIM,29/03/2024 11:01,29/03/2024 16:36,333,ON_TIME,0,B757,ECONOMY,37E
76,AM,Aeromexico,AM0403,sjo,PTY,26/11/2025 13:21,26/11/2025 18:35,319,ON_TIME,0,A321,ECONOMY,37C
77,DL,Delta,DL3054,MIA,LAX,08-30-2024 06:03 AM,30/08/2024 12:25,220,DELAYED,143,A320,ECONOMY,31A
78,CM,Copa Airlines,CM9670,LIM,SJO,29/11/2024 15:26,29/11/2024 19:20,244,ON_TIME,0,A321,ECONOMY,40F
79,AM,Aeromexico,AM8057,SJO,BOG,19/04/2024 19:06,04-20-2024 12:26 AM,306,ON_TIME,0,B767,ECONOMY,28D
80,UA,United,UA0529,LAX,JFK,01-26-2024 09:28 AM,01-26-2024 12:37 PM,185,ON_TIME,0,A321,ECONOMY,30E
81,UA,United,UA4544,CUN,SJO,21/09/2025 16:35,22/09/2025 01:19,346,DELAYED,166,A319,ECONOMY,21E
82,UA,UNITED,UA6517,SAP,SJO,17/10/2025 05:01,10-17-2025 11:47 AM,391,ON_TIME,0,B737,ECONOMY,24F
83,IB,Iberia,IB2712,MIA,MEX,1/03/2025 02:36,1/03/2025 08:14,340,ON_TIME,0,CRJ9,ECONOMY,26F
84,FR,Ryanair,FR1121,SAL,LIM,06-30-2025 01:52 PM,30/06/2025 15:15,93,ON_TIME,0,E190,ECONOMY,34B
85,UA,United,UA8349,PTY,MIA,4/08/2025 04:44,4/08/2025 07:02,122,ON_TIME,0,E190,ECONOMY,22A
86,UA,United,UA6807,BOG,GUA,26/10/2024 17:25,26/10/2024 19:12,102,ON_TIME,0,E190,ECONOMY,32A
87,IB,Iberia,IB0186,SAL,bcn,28/08/2024 17:04,,,CANCELLED,,B777,BUSINESS,
88,IB,Iberia,IB4007,CUN,GUA,15/10/2024 20:08,15/10/2024 22:44,109,DELAYED,40,A319,ECONOMY,16C
89,AV,Avianca,AV4980,LIM,SAL,15/09/2025 19:09,16/09/2025 02:15,410,ON_TIME,0,B739,ECONOMY,45F
90,UA,United,UA1392,SAP,LAX,30/11/2025 09:28,11-30-2025 02:57 PM,324,ON_TIME,0,E190,BUSINESS,4B
91,B6,JetBlue,B61482,SAL,MEX,3/12/2024 20:40,4/12/2024 03:02,384,ON_TIME,0,CRJ9,ECONOMY,26D
92,AM,Aeromexico,AM1377,MEX,LIM,3/11/2024 20:19,,,CANCELLED,,A321,ECONOMY,
93,FR,RYANAIR,FR1438,BCN,SAL,20/09/2025 14:25,20/09/2025 19:52,110,DELAYED,222,B737,PREMIUM_ECONOMY,11A
94,UA,United,UA8744,PTY,MAD,15/09/2025 01:29,09-15-2025 06:43 AM,323,DIVERTED,0,A320,PREMIUM_ECONOMY,13D
95,B6,JetBlue,B63301,HAV,BCN,10-28-2024 04:43 PM,28/10/2024 20:30,226,ON_TIME,0,A319,ECONOMY,41F
96,AM,Aeromexico,AM2873,SAL,MEX,18/01/2024 00:29,18/01/2024 06:14,120,DELAYED,226,B738,ECONOMY,27A
97,BA,British Airways,BA1771,LIM,MIA,31/10/2024 03:58,31/10/2024 09:25,335,ON_TIME,0,B767,ECONOMY,41E
98,LA,LATAM,LA7067,BOG,GUA,11-15-2025 09:23 PM,16/11/2025 01:33,238,ON_TIME,0,B757,ECONOMY,31E
99,UA,United,UA7716,CUN,MAD,13/11/2024 21:31,14/11/2024 07:53,401,DELAYED,196,A321,ECONOMY,37C
100,AM,Aeromexico,AM4897,MIA,HAV,13/10/2024 22:08,14/10/2024 00:46,140,ON_TIME,0,CRJ9,ECONOMY,24B
101,WN,Southwest,WN9627,HAV,BCN,03-19-2025 09:15 PM,03-20-2025 03:45 AM,391,ON_TIME,0,B757,ECONOMY,21B
102,B6,JetBlue,B65536,SAP,SJO,30/12/2025 20:20,30/12/2025 21:52,96,ON_TIME,0,B738,ECONOMY,25E
103,FR,Ryanair,FR2847,SAL,SJO,5/11/2025 21:28,6/11/2025 00:07,161,ON_TIME,0,A320,ECONOMY,40C
104,AM,AEROMEXICO,AM3388,SJO,SAP,3/06/2024 15:40,3/06/2024 21:17,185,DELAYED,139,A320,ECONOMY,45A
105,FR,Ryanair,FR1772,GUA,CUN,3/01/2025 05:48,3/01/2025 07:41,112,ON_TIME,0,B738,ECONOMY,24E
106,IB,Iberia,IB5874,PTY,HAV,6/07/2025 07:44,6/07/2025 14:11,378,ON_TIME,0,E190,ECONOMY,23A
107,AA,American Airlines,AA0886,BCN,BOG,4/09/2024 09:03,9/04/2024 13:21,177,DELAYED,56,B737,BUSINESS,6F
108,CM,Copa Airlines,CM5280,MEX,BOG,2/09/2024 17:48,3/09/2024 02:54,411,DELAYED,134,A320,ECONOMY,21C
109,UA,United,UA3461,JFK,SAL,06-22-2025 04:14 PM,22/06/2025 20:04,221,ON_TIME,0,A319,ECONOMY,34C
110,AV,Avianca,AV1719,MIA,SAP,11/11/2025 19:58,12/11/2025 05:05,372,DELAYED,169,B738,ECONOMY,17F
111,UA,United,UA3788,PTY,SAL,6/04/2024 03:35,,,CANCELLED,,B738,ECONOMY,
112,DL,Delta,DL2733,GUA,PTY,23/10/2025 23:04,24/10/2025 04:00,193,DELAYED,90,A320,ECONOMY,19A
113,AA,American Airlines,AA8571,MAD,bog,8/12/2025 18:29,9/12/2025 03:39,347,DELAYED,183,B757,ECONOMY,35D
114,AM,Aeromexico,AM7325,SJO,SAL,9/06/2025 07:03,9/06/2025 13:30,373,ON_TIME,0,CRJ9,PREMIUM_ECONOMY,15A
115,LA,LATAM,LA4784,GUA,LIM,8/03/2025 17:40,9/03/2025 02:28,326,DELAYED,212,A321,ECONOMY,35F
116,DL,DELTA,DL7913,SAP,SAL,30/07/2025 17:24,31/07/2025 00:34,414,ON_TIME,0,A319,ECONOMY,22A
117,DL,Delta,DL2174,SAL,SAP,27/10/2024 21:45,10-28-2024 04:16 AM,381,ON_TIME,0,A319,ECONOMY,35F
118,AM,Aeromexico,AM7416,sjo,HAV,03-30-2024 03:18 PM,03-30-2024 07:28 PM,225,ON_TIME,0,CRJ9,ECONOMY,37F
119,FR,Ryanair,FR3171,LIM,CUN,10-29-2024 01:22 AM,10-29-2024 08:04 AM,166,DELAYED,214,E190,ECONOMY,38F
120,BA,British Airways,BA8277,BOG,LAX,2/04/2024 16:54,2/04/2024 20:44,238,ON_TIME,0,B757,ECONOMY,20B
121,UA,United,UA6144,SJO,SAL,14/09/2024 18:45,09-14-2024 10:32 PM,214,ON_TIME,0,B767,BUSINESS,8E
122,UA,United,UA2917,LAX,SAP,3/02/2025 03:41,3/02/2025 05:04,87,ON_TIME,0,B787,BUSINESS,8E
123,LA,LATAM,LA8942,MAD,SAL,16/12/2024 09:35,16/12/2024 15:57,367,ON_TIME,0,B738,ECONOMY,37A
124,BA,BRITISH AIRWAYS,BA7558,PTY,SJO,16/10/2024 19:39,10-16-2024 09:40 PM,50,DELAYED,46,E190,ECONOMY,16E
125,BA,British Airways,BA5433,LIM,BCN,01-13-2025 09:53 AM,01-13-2025 01:39 PM,214,ON_TIME,0,B739,ECONOMY,19C
126,AA,American Airlines,AA9661,CUN,MEX,16/05/2025 09:57,16/05/2025 19:36,355,DELAYED,229,B767,PREMIUM_ECONOMY,15B
127,AM,AEROMEXICO,AM5310,BOG,MEX,9/01/2024 05:26,9/01/2024 15:31,384,DELAYED,216,E190,FIRST,3B
128,IB,Iberia,IB1939,LIM,BCN,26/02/2025 19:25,02-27-2025 01:02 AM,336,ON_TIME,0,B739,ECONOMY,34F
129,CM,Copa Airlines,CM7724,BCN,PTY,12/06/2024 15:48,6/12/2024 21:35,347,ON_TIME,0,B757,ECONOMY,23A
130,DL,Delta,DL2136,PTY,LAX,27/05/2025 08:44,27/05/2025 13:56,306,ON_TIME,0,A320,ECONOMY,45D
131,FR,Ryanair,FR5176,MAD,SAP,9/02/2025 11:36,9/02/2025 19:17,260,DELAYED,188,B757,ECONOMY,23D
132,WN,Southwest,WN5545,MAD,PTY,14/03/2025 14:12,03-14-2025 06:11 PM,232,DIVERTED,0,E190,ECONOMY,22D
133,FR,Ryanair,FR9823,GUA,MEX,09-16-2025 06:31 PM,09-16-2025 08:01 PM,91,ON_TIME,0,B787,ECONOMY,18A
134,UA,United,UA9153,PTY,HAV,1/01/2024 05:21,1/01/2024 07:21,125,DIVERTED,0,A321,ECONOMY,27F
135,WN,Southwest,WN6537,HAV,SJO,8/09/2025 05:50,8/09/2025 11:35,339,ON_TIME,0,A321,BUSINESS,8D
136,AM,AEROMEXICO,AM6082,MIA,MAD,06-18-2024 06:22 PM,19/06/2024 00:07,338,ON_TIME,0,B787,ECONOMY,45B
137,WN,Southwest,WN5622,LAX,SAL,5/11/2024 01:00,5/11/2024 03:36,158,ON_TIME,0,B737,PREMIUM_ECONOMY,14E
138,AM,Aeromexico,AM9304,MAD,JFK,5/08/2024 04:40,5/08/2024 09:16,275,ON_TIME,0,A319,BUSINESS,9B
139,CM,Copa Airlines,CM2746,PTY,MAD,15/03/2024 19:11,15/03/2024 23:57,275,ON_TIME,0,B757,ECONOMY,33C
140,AA,American Airlines,AA7753,SAL,MAD,5/05/2024 19:53,5/05/2024 23:37,220,ON_TIME,0,B757,ECONOMY,38C
141,AA,American Airlines,AA9241,JFK,SJO,25/04/2025 02:15,04-25-2025 04:14 AM,124,ON_TIME,0,B777,BUSINESS,6B
142,WN,Southwest,WN6386,JFK,MEX,09-17-2025 12:50 AM,09-17-2025 02:38 AM,90,ON_TIME,0,A321,ECONOMY,20C
143,B6,JetBlue,b62469,HAV,LIM,22/06/2025 23:41,23/06/2025 06:23,395,ON_TIME,0,B757,ECONOMY,41C
144,AM,Aeromexico,AM7747,BCN,MIA,25/06/2025 07:48,06-25-2025 09:00 AM,61,ON_TIME,0,B739,ECONOMY,20A
145,BA,British Airways,BA5545,LIM,GUA,8/02/2025 14:46,8/02/2025 16:39,107,ON_TIME,0,E190,ECONOMY,27A
146,DL,Delta,DL2628,SJO,PTY,20/02/2025 14:21,20/02/2025 15:58,99,ON_TIME,0,B738,ECONOMY,33F
147,CM,Copa Airlines,CM1754,GUA,SAL,25/08/2025 16:09,25/08/2025 22:42,371,ON_TIME,0,B787,ECONOMY,16E
148,CM,Copa Airlines,CM8512,BOG,BCN,29/04/2025 15:39,29/04/2025 22:29,404,ON_TIME,0,B777,ECONOMY,38A
149,FR,Ryanair,FR7055,JFK,BCN,18/03/2025 18:05,03-19-2025 12:11 AM,365,ON_TIME,0,B737,ECONOMY,39A
150,WN,Southwest,WN9539,SAP,BCN,07-16-2024 08:33 AM,07-16-2024 12:40 PM,229,ON_TIME,0,B738,ECONOMY,39A
151,UA,UNITED,UA6267,SAP,LAX,02-29-2024 11:08 PM,1/03/2024 07:07,415,DELAYED,54,B739,ECONOMY,44F
152,WN,Southwest,WN8590,SJO,lim,20/06/2024 11:57,20/06/2024 13:53,123,ON_TIME,0,B757,FIRST,2E
153,AA,AMERICAN AIRLINES,AA0226,MEX,GUA,5/06/2025 18:16,6/05/2025 22:49,256,ON_TIME,0,B738,ECONOMY,27E
154,UA,UNITED,ua1768,sap,MAD,02-21-2025 09:08 PM,21/02/2025 23:44,153,ON_TIME,0,E190,ECONOMY,33D
155,WN,SOUTHWEST,WN0483,SJO,HAV,18/03/2024 08:44,18/03/2024 14:57,206,DELAYED,146,B737,ECONOMY,22E
156,FR,RYANAIR,FR2379,MEX,BCN,9/03/2024 04:37,3/09/2024 11:49,418,ON_TIME,0,A319,ECONOMY,43F
157,BA,British Airways,BA9908,MEX,CUN,23/05/2024 00:31,23/05/2024 07:22,207,DELAYED,205,A319,ECONOMY,29D
158,DL,Delta,DL8606,MEX,HAV,30/05/2024 02:37,30/05/2024 05:09,160,ON_TIME,0,A320,BUSINESS,6D
159,AV,Avianca,AV6776,JFK,MAD,6/02/2025 21:19,2/07/2025 02:54,320,DIVERTED,0,B767,ECONOMY,28E
160,UA,United,UA2931,BCN,JFK,3/11/2024 01:04,11/03/2024 04:07,173,ON_TIME,0,B738,BUSINESS,10B
161,CM,Copa Airlines,CM5719,LAX,CUN,1/05/2025 13:55,1/05/2025 17:10,137,DELAYED,61,E190,ECONOMY,40C
162,AM,AEROMEXICO,AM6780,SAL,BOG,2/08/2024 02:00,2/08/2024 03:56,100,DIVERTED,0,B787,ECONOMY,25E
163,FR,Ryanair,FR6794,BOG,LIM,9/03/2024 02:16,9/03/2024 07:16,292,ON_TIME,0,B777,PREMIUM_ECONOMY,13E
164,FR,RYANAIR,FR7578,CUN,LIM,06-19-2025 10:51 PM,20/06/2025 03:34,189,DELAYED,88,CRJ9,ECONOMY,33C
165,B6,JetBlue,B64959,SAP,CUN,6/10/2025 18:31,6/10/2025 22:22,206,ON_TIME,0,A321,ECONOMY,37C
166,UA,United,UA8530,SAL,LIM,10/12/2024 16:32,10/12/2024 23:45,304,DELAYED,138,A320,ECONOMY,26D
167,UA,United,UA7713,LAX,SAP,4/06/2024 18:37,4/06/2024 21:08,143,ON_TIME,0,B757,ECONOMY,30F
168,DL,DELTA,DL5413,SJO,SAP,8/04/2025 00:30,8/04/2025 06:36,348,ON_TIME,0,B767,ECONOMY,42B
169,AA,American Airlines,AA8922,MIA,LAX,6/01/2025 18:43,1/06/2025 23:24,281,ON_TIME,0,E190,ECONOMY,34B
170,B6,JetBlue,B63370,bcn,SAP,29/03/2024 19:07,03-30-2024 01:14 AM,348,ON_TIME,0,B787,ECONOMY,30B
171,LA,LATAM,LA3084,SAP,SAL,11/12/2025 19:02,11/12/2025 22:38,221,ON_TIME,0,B739,ECONOMY,32D
172,FR,Ryanair,FR8221,MEX,LAX,14/04/2024 07:06,14/04/2024 07:50,50,ON_TIME,0,B787,ECONOMY,44D
173,B6,JetBlue,B67688,BCN,SJO,1/07/2025 11:57,1/07/2025 15:47,233,ON_TIME,0,B739,BUSINESS,4B
174,IB,Iberia,IB7318,CUN,GUA,28/01/2024 10:31,28/01/2024 19:54,400,DELAYED,154,CRJ9,ECONOMY,36D
175,WN,Southwest,WN7776,GUA,BOG,23/09/2024 07:08,23/09/2024 08:35,88,ON_TIME,0,B757,PREMIUM_ECONOMY,14D
176,CM,COPA AIRLINES,CM0174,MIA,HAV,11/06/2025 00:02,11/06/2025 03:51,206,ON_TIME,0,A320,ECONOMY,45E
177,FR,Ryanair,FR4529,BCN,MEX,30/09/2024 00:44,09-30-2024 03:29 AM,157,ON_TIME,0,E190,ECONOMY,35A
178,DL,Delta,DL8155,HAV,CUN,27/02/2024 11:24,27/02/2024 14:23,186,ON_TIME,0,A320,ECONOMY,17C
179,BA,British Airways,BA4751,MIA,GUA,3/12/2025 15:17,3/12/2025 19:12,245,ON_TIME,0,A320,BUSINESS,7D
180,IB,Iberia,IB8571,SJO,LIM,10-30-2024 12:04 AM,10-30-2024 01:55 AM,99,ON_TIME,0,B777,BUSINESS,7F
181,AA,American Airlines,AA6587,GUA,LIM,25/07/2025 05:57,07-25-2025 08:15 AM,117,ON_TIME,0,B787,ECONOMY,45E
182,UA,United,UA7799,SAP,HAV,5/02/2024 09:47,2/05/2024 15:36,348,ON_TIME,0,E190,ECONOMY,20D
183,UA,United,UA7773,CUN,MEX,04-19-2025 05:15 AM,04-19-2025 11:46 AM,399,ON_TIME,0,A320,ECONOMY,35A
184,UA,United,UA7717,MAD,HAV,14/07/2024 06:05,14/07/2024 10:00,216,ON_TIME,0,B757,ECONOMY,45E
185,CM,Copa Airlines,CM6746,CUN,JFK,27/10/2024 20:21,28/10/2024 00:15,236,ON_TIME,0,B737,ECONOMY,27C
186,IB,Iberia,ib1487,GUA,JFK,07-21-2025 12:31 AM,21/07/2025 05:00,264,ON_TIME,0,A319,ECONOMY,23E
187,BA,British Airways,BA5964,LIM,BOG,19/01/2024 23:06,20/01/2024 07:55,277,DELAYED,233,B739,ECONOMY,21C
188,AM,Aeromexico,AM8731,CUN,MEX,18/05/2025 10:48,18/05/2025 16:13,331,ON_TIME,0,B739,ECONOMY,20C
189,AA,AMERICAN AIRLINES,AA8514,CUN,MAD,23/11/2025 18:16,23/11/2025 22:50,279,ON_TIME,0,B739,BUSINESS,6A
190,CM,Copa Airlines,CM5188,LIM,SJO,1/06/2025 04:26,1/06/2025 13:33,401,DELAYED,123,B739,ECONOMY,34B
191,AV,Avianca,AV7244,SJO,MEX,3/09/2024 04:15,3/09/2024 07:55,221,ON_TIME,0,B767,ECONOMY,21E
192,WN,Southwest,WN7007,MEX,SAL,08-27-2024 07:04 AM,08-27-2024 08:16 AM,57,ON_TIME,0,B738,ECONOMY,27A
193,CM,Copa Airlines,CM9305,LIM,CUN,3/09/2024 00:57,9/03/2024 05:46,155,DELAYED,116,A319,PREMIUM_ECONOMY,13B
194,CM,COPA AIRLINES,CM7800,GUA,PTY,1/10/2025 02:05,1/10/2025 05:33,199,ON_TIME,0,B739,ECONOMY,23A
195,IB,Iberia,IB5940,MEX,HAV,03-27-2025 06:49 PM,27/03/2025 20:02,74,ON_TIME,0,A319,PREMIUM_ECONOMY,12C
